# table_key	max_dtm	decisive	remaining	elapsed_min	updated_utc
regen_K_Bishop_Bishop_K	30	7591300	1202264	34.7	2026-03-07 18:02:35
regen_K_Bishop_K	9	6596	328220	1.1	2026-03-07 05:52:07
regen_K_Bishop_Knight_K	16	16456916	1315244	46.6	2026-03-07 16:59:53
regen_K_Bishop_Pawn_K	24	13883420	1338790	44.9	2026-03-07 18:47:29
regen_K_Bishop_Queen_K	14	16369920	1273744	64.7	2026-03-07 09:04:59
regen_K_Bishop_Rook_K	22	16076344	2748992	76.1	2026-03-07 12:05:19
regen_K_Knight_K	32	282780	54188	0.9	2026-03-07 05:51:03
regen_K_Knight_Knight_K	11	8889136	41556	22.0	2026-03-07 16:13:16
regen_K_Knight_Pawn_K	18	15038584	189216	27.9	2026-03-07 17:27:53
regen_K_Knight_Queen_K	10	17748724	41556	38.4	2026-03-07 08:00:13
regen_K_Knight_Rook_K	18	17264324	1605772	42.1	2026-03-07 10:49:04
regen_K_Knight_vs_Bishop_K	11	2797828	13551332	107.0	2026-03-15 23:03:31
regen_K_Knight_vs_Knight_K	20	1623752	14742712	55.8	2026-03-15 21:15:50
regen_K_Knight_vs_Pawn_K	30	10842540	4215706	52.3	2026-03-23 09:29:06
regen_K_Knight_vs_Queen_K	13	3141216	12827332	61.9	2026-03-15 19:14:46
regen_K_Knight_vs_Rook_K	13	3681764	14187356	62.7	2026-03-15 20:18:21
regen_K_Pawn_K	52	229398	69002	0.7	2026-03-07 05:52:49
regen_K_Pawn_Pawn_K	18	6513894	140174	10.5	2026-03-07 18:58:03
regen_K_Pawn_Queen_K	14	14986258	152006	35.7	2026-03-07 09:40:58
regen_K_Pawn_Rook_K	24	14927204	1389910	47.7	2026-03-07 15:51:08
regen_K_Queen_K	20	300544	33360	0.9	2026-03-07 05:49:13
regen_K_Queen_Queen_K	8	8755560	0	26.8	2026-03-07 06:23:38
regen_K_Queen_Rook_K	14	17087848	1567184	54.3	2026-03-07 07:21:36
regen_K_Queen_vs_Bishop_K	21	1560856	14390388	107.9	2026-03-12 05:15:20
regen_K_Queen_vs_Knight_K	37	2790656	13177892	96.4	2026-03-11 23:24:23
regen_K_Queen_vs_Pawn_K	36	10422582	4313544	63.5	2026-03-12 06:18:56
regen_K_Queen_vs_Queen_K	7	1352728	14217904	79.2	2026-03-09 09:50:47
regen_K_Queen_vs_Rook_K	18	1522368	15948836	140.0	2026-03-11 12:18:47
regen_K_Rook_K	15	6496	355464	1.0	2026-03-07 05:50:10
regen_K_Rook_Rook_K	22	8506312	1466076	25.9	2026-03-07 10:06:55
regen_K_Rook_vs_Bishop_K	5	46496	17805320	82.8	2026-03-15 17:02:28
regen_K_Rook_vs_Knight_K	3	41272	17827848	56.9	2026-03-15 15:38:43
regen_K_Rook_vs_Pawn_K	23	100952	16070642	68.8	2026-03-15 18:12:16
regen_K_Rook_vs_Queen_K	5	39520	17431684	92.1	2026-03-12 22:20:07
regen_K_Rook_vs_Rook_K	5	48460	19323316	82.0	2026-03-12 23:44:45
